Item,Quantity,Reference,ASSY,Value,Rating,PCB Footprint,PN,Part Type,Manufacturer,Manufacturer Part Number,Description,Temperature
55,207,"C4,C7,C31,C38,C48,C51,C54,C63,C64,C67,C72,C76,C78,C81,C83,C84,C106,C111,C115,C116,C118,C122,C123,C127,C128,C130,C131,C133,C134,C137,C138,C139,C140,C141,C144,C145,C146,C147,C150,C152,C154,C155,C156,C157,C158,C159,C160,C161,C162,C163,C165,C166,C167,C168,C170,C171,C172,C173,C175,C176,C178,C179,C180,C181,C182,C183,C184,C187,C189,C190,C192,C193,C194,C196,C197,C198,C199,C201,C202,C203,C204,C205,C206,C208,C209,C210,C212,C214,C215,C216,C217,C218,C220,C221,C222,C223,C224,C225,C228,C229,C231,C232,C233,C234,C235,C236,C237,C239,C241,C242,C244,C245,C246,C247,C249,C251,C252,C253,C255,C257,C258,C259,C260,C261,C264,C265,C267,C268,C269,C270,C272,C273,C274,C277,C279,C286,C288,C289,C292,C295,C296,C297,C298,C302,C306,C307,C308,C309,C310,C313,C316,C317,C318,C319,C320,C323,C324,C342,C348,C353,C355,C356,C357,C358,C359,C361,C371,C380,C381,C384,C385,C394,C396,C397,C398,C402,C408,C409,C414,C419,C433,C439,C440,C445,C449,C456,C459,C462,C472,C478,C480,C481,C496,C510,C511,C520,C522,C523,C530,C540,C542,C545,C547,C550,C552,C554,C556",,100nF,"10V,X5R",C0201,302010271,Ceramic,YAGEO,CC0201KRX5R6BB104,SMD CAP Ceramic 100nF-10V-10%-X5R;0201,-55°C to 85°C
56,30,"C49,C50,C55,C56,C57,C58,C59,C60,C61,C65,C69,C70,C73,C77,C79,C82,C85,C89,C90,C97,C98,C99,C100,C103,C311,C327,C337,C460,C468,C498",,10nF,"16V,X7R",C0201,302010431,Ceramic,YAGEO,CC0201KRX7R7BB103,SMD CAP Ceramic 10nF-16V-10%-X7R;0201,-55°C to 125°C
57,1,C96,,120nF,"16V,X7R",C0603,302010781,Ceramic,Murata,GRM188R71C124KA01D,SMD CAP Ceramic 120nF-16V-10%-X7R;0603,-55°C to 125°C
58,1,C88,,0.015uF,"16V,X7R",C0402,302011139,Ceramic,Murata,GRM155R71C153KA01D,SMD CAP Ceramic 0.015uF-16V-10%-X7R;0402,-55°C to 125°C
59,42,"C2,C5,C12,C13,C17,C18,C21,C22,C23,C33,C34,C52,C53,C278,C312,C315,C326,C336,C339,C405,C407,C434,C443,C476,C488,C497,C501,C502,C507,C508,C509,C512,C513,C516,C517,C521,C525,C526,C549,C551,C553,C555",,10uF,"16V,X7R",C0805,302011546,Ceramic,YAGEO,CC0805MKX7R7BB106,SMD CAP Ceramic 10uF-16V-20%-X7R;0805,-55°C to 125°C
60,4,"C8,C44,C458,C467",,100uF,"10V,X5R",C1210,302011571,Ceramic,YAGEO,CC1210MKX5R6BB107,SMD CAP Ceramic 100uF-10V-20%-X5R;1210,-55°C to 85°C
61,28,"C3,C9,C10,C14,C16,C24,C30,C32,C35,C46,C62,C71,C74,C75,C80,C105,C464,C465,C500,C503,C505,C506,C514,C515,C518,C519,C524,C528",,47uF,"10V,X5R",C1206,302011605,Ceramic,YAGEO,CC1206MKX5R6BB476,SMD CAP Ceramic 47uF-10V-20%-X5R;1206,-55°C to 85°C
62,1,C6,,1nF,"2KV,X7R",C1206,302011962,Ceramic,YAGEO,CC1206KKX7RDBB102,SMD CAP Ceramic 1nF-2kV-10%-X7R;1206,-55°C to 125°C
63,27,"C101,C119,C121,C125,C126,C129,C132,C135,C143,C151,C164,C174,C177,C185,C188,C368,C373,C375,C377,C531,C532,C533,C534,C535,C536,C537,C538",,220nF,"10V,X5R",C0201,302012841,Ceramic,YAGEO,CC0201KRX5R6BB224,SMD CAP Ceramic;220nF-10V-10%-X5R;0201,-55°C to 85°C
64,1,C546,,4.7uF,"16V,X5R",C1210,302012979,Ceramic,YAGEO,CC1210KKX5R7BB475,SMD CAP Ceramic 4.7uF-16V-10%-X5R;1210,-55°C to 85°C
65,2,"C142,C388",,150uF,"10V,Tantalum",AVX_C,302020529,Tantalum,XIANGYEE,CA45-C010K157T,SMD CAP Tantalum 150uF-10V-10%;C,-55°C to 125°C
66,1,L15,,0.47uH,10.2A,L4242,303011529,Inductor,CODACA,CSHB0421-R47M ,SMD Power Inductor 0.47uH-20%-10.2A;2P-4.4*4.4*1.9MM,-40°C to 125°C
67,10,"L16,L17,L18,L19,L20,L21,L22,L23,L24,L25",,0.47uH,4.9A,L1008,303011635,Inductor,TDK,TFM252012ALMAR47MTAA,SMD Inductor;0.47uH-20%-4.9A-2.5*2.0*1.2mm,-55°C to 150°C
68,1,L2,,1.8uH,21A,L7572_xal7070,303011641,Inductor,Coilcraft,XAL7070-182MEC,SMD Inductor;1.8uH-20%-21A-7.5*7.2*7mm,-40°C to 125°C
69,25,"FL1,FL2,FL3,FL4,FL5,FL6,FL7,FL8,FL10,FL11,FL12,FL13,FL14,FL15,FL16,FL17,FL18,FL19,FL20,FL21,FL22,FL23,FL24,FL25,FL26",,120R,2A,L0603,303030024,Ferrite Bead,Murata,BLM18PG121SN1D,SMD Ferrite Bead;120R-2A;0603,-55°C to 125°C
70,18,"L1,L3,L4,L5,L6,L7,L8,L9,L10,L11,L12,L13,L14,L26,L27,L28,L29,L30",,90R,280mA,L2012,303050266,Common Mode Filter,Murata,DLW21SN900HQ2L,SMD Common Mode Chokes 90R-280mA;L2.0*W1.2*H1.4mm,-40°C to 85°C
71,3,"D41,D50,D51",,PMEG3010CEJ,1A,SOD_323,304020022,Diode,Nexperia,"PMEG3010CEJ,115",SMD Diode Schottky 30V-1A;SOD-323F,-65°C to 150°C
72,2,"D20,D21",,B130L-13-F,"30V,1A",DO_214AC_SMA,304020024,Schottky Diode,Diodes,B130L-13-F,SMD Diode Schottky 30V-1A;DO-214AC,-55°C to 125°C
73,1,D7,,6.8V,250mW,SOT23,304030608,Zener Diode,ON,BZX84C6V8LT1G,SMD Diode Zener 6.8V-250mW;SOT23-3,-65°C to 150°C
74,10,"D6,D8,D9,D10,D11,D12,D36,D37,D38,D39",,TPD1E05U06DPYR,5.5V,D0402_1C2A,304050675,ESD,TI,TPD1E05U06DPYR,"SMD Diode ESD;0.4pF,5.5V,±12kV;X1SON(2),0402",-40°C to 125°C
75,22,"D1,D2,D3,D4,D19,D22,D23,D24,D25,D26,D27,D28,D29,D30,D31,D32,D33,D34,D35,D48,D49,D52",,TPD1E1B04DPYR,3.6V,D0402,304050798,ESD,TI,TPD1E1B04DPYR,SMD TVS DIODE 3.6V-6.4V-1pF;X1SON(2),-40°C to 125°C
76,2,"U13,U17",,TPD4E05U06DQAR,5.5V,uson10_0d5_2d5x1x0d5mm,304060294,ESD,TI,TPD4E05U06DQAR,"SMD Diode Array ESD;4 Channel,6 Gbps,5.5V;USON-10",-40°C to 125°C
77,14,"D5,D13,D14,D15,D16,D17,D18,D40,D42,D43,D44,D45,D46,D47",,ESD122DMXR,3.6V,x2son3_0d3_0_6x1x0_4mm,304060334,ESD,TI,ESD122DMXR,"SMD Diode ESD;0.2pF,±3.6V,±18kV,2-CH For USB Type-C and HDMI 2.0;X2SON (3)",-40°C to 125°C
78,6,"LED1,LED2,LED3,LED4,LED5,LED6",,Green,,LED0603,304090043,LED,Everlight,19-217/G7C-AN1P2/3T,SMD LED Clear-Green;LED-0603,-40°C to 85°C
79,3,"Q4,Q5,Q6",,BSS138W,50V 200mA,SOT-323-3,305030000,NMOS,Diodes,BSS138W-7-F,SMD MOSFET N-CH 50V-200mA;SOT-323-3,-55°C to 150°C
80,1,Q1,,IRLML6402TRPBF,"20V,3.7A",sot23,305031060,PMOS,Infineon,IRLML6402TRPBF,SMD MOSFET P-CH 20V-3.7A;SOT-23,-55°C to 150°C
81,1,Q3,,CSD17308Q3,"30V,50A",vson8_0d65_3_3x3_3x1mm,305031301,NMOS,TI,CSD17308Q3,"SMD MOSFET N-CH;30V-50A,11.8 mOhm;VSON 3.3*3.3mm",-55°C to 150°C
82,1,Q2,,CSD17575Q3,"30V,60A",vson8_0d65_3_3x3_3x1mm,305031302,NMOS,TI,CSD17575Q3,"SMD MOSFET N-CH;30V-60A,3.2 mOhm;VSON 3.3*3.3mm",-55°C to 150°C
83,1,X5,,32.768kHz 12.5pF,20ppm,X2_SMD_3_2X1_5MM,306010138,Crystal,EPSON,FC-135 32.7680KA-A3,SMD Crystal 32.768KHz-12.5pF-20ppm-2P-3.2*1.5*0.9mm,-40°C to 85°C
84,1,X1,,25MHz 18pF,20ppm,x4_smd_2_5x2_0mm,306011049,Crystal,Interquip,5ZAA25000182TFA0Q3,SMD Crystal;25MHz-18pF-20ppm;SMD-2520-4P-L2.5*W2.0*H0.6mm,-40°C to 85°C
85,1,X4,,24MHz 18pF,20ppm,X4-SMD-3_2X2_5X1_0MM,306011063,Crystal,Interquip,5YAA24000182TF50Q3,SMD Crystal 24MHz-18pF-20ppm;4P-SMD-L3.2*W2.5*H0.8mm,-40°C to 85°C
